time,type,estimate,num_kwh,kwh_price_no_vat,vat_percent,amount_with_vat
2016-11-09T23:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-09T23:00:00+00:00,consumption,False,3.000,0.354,25,1.061,1.327
2016-11-10T00:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T00:00:00+00:00,consumption,False,3.000,0.349,25,1.048,1.311
2016-11-10T01:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T01:00:00+00:00,consumption,False,3.000,0.346,25,1.038,1.297
2016-11-10T02:00:00+00:00,consumption,False,3.000,0.349,25,1.048,1.310
2016-11-10T02:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T03:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-10T03:00:00+00:00,consumption,False,4.000,0.359,25,1.438,1.797
2016-11-10T04:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-10T04:00:00+00:00,consumption,False,4.000,0.370,25,1.479,1.848
2016-11-10T05:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T05:00:00+00:00,consumption,False,3.000,0.379,25,1.136,1.420
2016-11-10T06:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T06:00:00+00:00,consumption,False,5.000,0.383,25,1.916,2.395
2016-11-10T07:00:00+00:00,consumption,False,8.000,0.383,25,3.065,3.832
2016-11-10T07:00:00+00:00,elcert,False,8.000,0.020,25,0.160,0.200
2016-11-10T08:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T08:00:00+00:00,consumption,False,5.000,0.382,25,1.909,2.387
2016-11-10T09:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T09:00:00+00:00,consumption,False,3.000,0.379,25,1.137,1.421
2016-11-10T10:00:00+00:00,consumption,False,5.000,0.379,25,1.896,2.370
2016-11-10T10:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T11:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T11:00:00+00:00,consumption,False,5.000,0.379,25,1.893,2.367
2016-11-10T12:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T12:00:00+00:00,consumption,False,3.000,0.380,25,1.140,1.425
2016-11-10T13:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-10T13:00:00+00:00,consumption,False,4.000,0.380,25,1.518,1.898
2016-11-10T14:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T14:00:00+00:00,consumption,False,5.000,0.377,25,1.887,2.359
2016-11-10T15:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T15:00:00+00:00,consumption,False,5.000,0.379,25,1.895,2.368
2016-11-10T16:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-10T16:00:00+00:00,consumption,False,6.000,0.379,25,2.276,2.845
2016-11-10T17:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-10T17:00:00+00:00,consumption,False,7.000,0.373,25,2.611,3.264
2016-11-10T18:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-10T18:00:00+00:00,consumption,False,7.000,0.374,25,2.621,3.276
2016-11-10T19:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T19:00:00+00:00,consumption,False,5.000,0.375,25,1.873,2.341
2016-11-10T20:00:00+00:00,consumption,False,4.000,0.370,25,1.479,1.849
2016-11-10T20:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-10T21:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-10T21:00:00+00:00,consumption,False,5.000,0.362,25,1.812,2.265
2016-11-10T22:00:00+00:00,consumption,False,3.000,0.358,25,1.074,1.343
2016-11-10T22:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-10T23:00:00+00:00,consumption,False,3.000,0.360,25,1.079,1.349
2016-11-10T23:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T00:00:00+00:00,consumption,False,3.000,0.355,25,1.064,1.330
2016-11-11T00:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T01:00:00+00:00,consumption,False,3.000,0.353,25,1.059,1.323
2016-11-11T01:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T02:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T02:00:00+00:00,consumption,False,3.000,0.355,25,1.064,1.331
2016-11-11T03:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-11T03:00:00+00:00,consumption,False,5.000,0.361,25,1.803,2.253
2016-11-11T04:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T04:00:00+00:00,consumption,False,3.000,0.363,25,1.089,1.361
2016-11-11T05:00:00+00:00,consumption,False,4.000,0.363,25,1.452,1.815
2016-11-11T05:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-11T06:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-11T06:00:00+00:00,consumption,False,5.000,0.418,25,2.090,2.613
2016-11-11T07:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-11T07:00:00+00:00,consumption,False,5.000,0.389,25,1.947,2.433
2016-11-11T08:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-11T08:00:00+00:00,consumption,False,4.000,0.388,25,1.552,1.940
2016-11-11T09:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-11T09:00:00+00:00,consumption,False,2.000,0.387,25,0.773,0.966
2016-11-11T10:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T10:00:00+00:00,consumption,False,3.000,0.379,25,1.138,1.422
2016-11-11T11:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T11:00:00+00:00,consumption,False,3.000,0.377,25,1.130,1.413
2016-11-11T12:00:00+00:00,consumption,False,3.000,0.375,25,1.126,1.408
2016-11-11T12:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T13:00:00+00:00,consumption,False,3.000,0.375,25,1.124,1.405
2016-11-11T13:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-11T14:00:00+00:00,consumption,False,4.000,0.374,25,1.498,1.872
2016-11-11T14:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-11T15:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-11T15:00:00+00:00,consumption,False,6.000,0.376,25,2.259,2.823
2016-11-11T16:00:00+00:00,elcert,False,9.000,0.020,25,0.180,0.225
2016-11-11T16:00:00+00:00,consumption,False,9.000,0.377,25,3.397,4.246
2016-11-11T17:00:00+00:00,elcert,False,8.000,0.020,25,0.160,0.200
2016-11-11T17:00:00+00:00,consumption,False,8.000,0.377,25,3.019,3.774
2016-11-11T18:00:00+00:00,consumption,False,8.000,0.378,25,3.025,3.781
2016-11-11T18:00:00+00:00,elcert,False,8.000,0.020,25,0.160,0.200
2016-11-11T19:00:00+00:00,consumption,False,7.000,0.373,25,2.611,3.264
2016-11-11T19:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-11T20:00:00+00:00,consumption,False,7.000,0.364,25,2.548,3.185
2016-11-11T20:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-11T21:00:00+00:00,consumption,False,5.000,0.360,25,1.802,2.252
2016-11-11T21:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-11T22:00:00+00:00,consumption,False,4.000,0.359,25,1.437,1.796
2016-11-11T22:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-11T23:00:00+00:00,consumption,False,4.000,0.366,25,1.464,1.830
2016-11-11T23:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T00:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T00:00:00+00:00,consumption,False,4.000,0.359,25,1.437,1.797
2016-11-12T01:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-12T01:00:00+00:00,consumption,False,3.000,0.353,25,1.058,1.322
2016-11-12T02:00:00+00:00,consumption,False,4.000,0.353,25,1.412,1.765
2016-11-12T02:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T03:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T03:00:00+00:00,consumption,False,4.000,0.360,25,1.439,1.799
2016-11-12T04:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T04:00:00+00:00,consumption,False,4.000,0.361,25,1.443,1.804
2016-11-12T05:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T05:00:00+00:00,consumption,False,4.000,0.361,25,1.444,1.806
2016-11-12T06:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T06:00:00+00:00,consumption,False,4.000,0.361,25,1.443,1.804
2016-11-12T07:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T07:00:00+00:00,consumption,False,4.000,0.361,25,1.443,1.803
2016-11-12T08:00:00+00:00,consumption,False,5.000,0.367,25,1.834,2.292
2016-11-12T08:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-12T09:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-12T09:00:00+00:00,consumption,False,5.000,0.367,25,1.834,2.292
2016-11-12T10:00:00+00:00,consumption,False,6.000,0.367,25,2.204,2.754
2016-11-12T10:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-12T11:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-12T11:00:00+00:00,consumption,False,5.000,0.366,25,1.828,2.285
2016-11-12T12:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-12T12:00:00+00:00,consumption,False,6.000,0.364,25,2.184,2.730
2016-11-12T13:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-12T13:00:00+00:00,consumption,False,6.000,0.363,25,2.178,2.722
2016-11-12T14:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-12T14:00:00+00:00,consumption,False,6.000,0.363,25,2.179,2.724
2016-11-12T15:00:00+00:00,elcert,False,9.000,0.020,25,0.180,0.225
2016-11-12T15:00:00+00:00,consumption,False,9.000,0.366,25,3.295,4.118
2016-11-12T16:00:00+00:00,elcert,False,9.000,0.020,25,0.180,0.225
2016-11-12T16:00:00+00:00,consumption,False,9.000,0.366,25,3.298,4.122
2016-11-12T17:00:00+00:00,elcert,False,8.000,0.020,25,0.160,0.200
2016-11-12T17:00:00+00:00,consumption,False,8.000,0.363,25,2.902,3.628
2016-11-12T18:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-12T18:00:00+00:00,consumption,False,7.000,0.360,25,2.523,3.154
2016-11-12T19:00:00+00:00,consumption,False,7.000,0.358,25,2.504,3.130
2016-11-12T19:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-12T20:00:00+00:00,consumption,False,4.000,0.355,25,1.419,1.774
2016-11-12T20:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T21:00:00+00:00,consumption,False,3.000,0.355,25,1.064,1.330
2016-11-12T21:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-12T22:00:00+00:00,consumption,False,4.000,0.353,25,1.414,1.767
2016-11-12T22:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-12T23:00:00+00:00,consumption,False,3.000,0.351,25,1.054,1.317
2016-11-12T23:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-13T00:00:00+00:00,consumption,False,4.000,0.332,25,1.327,1.658
2016-11-13T00:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-13T01:00:00+00:00,consumption,False,2.000,0.321,25,0.643,0.803
2016-11-13T01:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-13T02:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-13T02:00:00+00:00,consumption,False,4.000,0.322,25,1.287,1.608
2016-11-13T03:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-13T03:00:00+00:00,consumption,False,3.000,0.328,25,0.984,1.230
2016-11-13T04:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-13T04:00:00+00:00,consumption,False,3.000,0.336,25,1.007,1.258
2016-11-13T05:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-13T05:00:00+00:00,consumption,False,5.000,0.350,25,1.751,2.189
2016-11-13T06:00:00+00:00,consumption,False,3.000,0.352,25,1.057,1.321
2016-11-13T06:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-13T07:00:00+00:00,consumption,False,5.000,0.356,25,1.778,2.223
2016-11-13T07:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-13T08:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-13T08:00:00+00:00,consumption,False,4.000,0.359,25,1.435,1.794
2016-11-13T09:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-13T09:00:00+00:00,consumption,False,5.000,0.361,25,1.806,2.258
2016-11-13T10:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-13T10:00:00+00:00,consumption,False,4.000,0.361,25,1.446,1.807
2016-11-13T11:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-13T11:00:00+00:00,consumption,False,3.000,0.363,25,1.088,1.360
2016-11-13T12:00:00+00:00,consumption,False,6.000,0.363,25,2.175,2.719
2016-11-13T12:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-13T13:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-13T13:00:00+00:00,consumption,False,4.000,0.363,25,1.451,1.813
2016-11-13T14:00:00+00:00,consumption,False,4.000,0.362,25,1.449,1.811
2016-11-13T14:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-13T15:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-13T15:00:00+00:00,consumption,False,5.000,0.378,25,1.891,2.364
2016-11-13T16:00:00+00:00,consumption,False,5.000,0.382,25,1.910,2.388
2016-11-13T16:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-13T17:00:00+00:00,consumption,False,5.000,0.380,25,1.900,2.375
2016-11-13T17:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
